x,y,z,device_id,pet_id,user_id
-0.484,0.194,-0.877,2,2,3
-0.486,0.194,-0.877,2,2,3
-0.486,0.195,-0.878,2,2,3
-0.485,0.195,-0.878,2,2,3
-0.485,0.194,-0.876,2,2,3
-0.484,0.196,-0.878,2,2,3
-0.486,0.197,-0.876,2,2,3
-0.485,0.195,-0.877,2,2,3
-0.484,0.198,-0.877,2,2,3
-0.485,0.198,-0.875,2,2,3
-0.485,0.195,-0.876,2,2,3
-0.487,0.197,-0.876,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.483,0.196,-0.876,2,2,3
-0.485,0.198,-0.875,2,2,3
-0.485,0.197,-0.877,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.486,0.198,-0.877,2,2,3
-0.484,0.197,-0.878,2,2,3
-0.485,0.196,-0.878,2,2,3
-0.484,0.199,-0.876,2,2,3
-0.486,0.197,-0.876,2,2,3
-0.485,0.197,-0.878,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.198,-0.877,2,2,3
-0.485,0.195,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.486,0.196,-0.877,2,2,3
-0.483,0.197,-0.875,2,2,3
-0.484,0.198,-0.876,2,2,3
-0.485,0.197,-0.875,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.196,-0.879,2,2,3
-0.484,0.198,-0.877,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.485,0.197,-0.878,2,2,3
-0.485,0.197,-0.874,2,2,3
-0.484,0.197,-0.875,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.485,0.197,-0.878,2,2,3
-0.486,0.196,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.197,-0.876,2,2,3
-0.486,0.197,-0.871,2,2,3
-0.485,0.197,-0.877,2,2,3
-0.484,0.196,-0.878,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.483,0.197,-0.875,2,2,3
-0.485,0.197,-0.876,2,2,3
-0.484,0.198,-0.876,2,2,3
-0.483,0.197,-0.876,2,2,3
-0.484,0.196,-0.875,2,2,3
-0.483,0.197,-0.876,2,2,3
-0.486,0.197,-0.878,2,2,3
-0.485,0.195,-0.878,2,2,3
-0.484,0.196,-0.878,2,2,3
-0.486,0.197,-0.877,2,2,3
-0.485,0.197,-0.876,2,2,3
-0.484,0.196,-0.877,2,2,3
-0.486,0.197,-0.874,2,2,3
-0.484,0.196,-0.876,2,2,3
-0.485,0.195,-0.876,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.196,-0.879,2,2,3
-0.485,0.197,-0.874,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.486,0.196,-0.875,2,2,3
-0.484,0.195,-0.876,2,2,3
-0.484,0.196,-0.877,2,2,3
-0.485,0.194,-0.876,2,2,3
-0.486,0.197,-0.877,2,2,3
-0.485,0.196,-0.879,2,2,3
-0.485,0.197,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.197,-0.876,2,2,3
-0.485,0.197,-0.875,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.485,0.196,-0.877,2,2,3
-0.485,0.197,-0.877,2,2,3
-0.485,0.197,-0.877,2,2,3
-0.484,0.198,-0.876,2,2,3
-0.484,0.197,-0.877,2,2,3
-0.487,0.197,-0.878,2,2,3
-0.485,0.197,-0.877,2,2,3
-0.486,0.199,-0.873,2,2,3
-0.484,0.197,-0.876,2,2,3
-0.485,0.198,-0.876,2,2,3
-0.486,0.198,-0.875,2,2,3
-0.485,0.198,-0.875,2,2,3
-0.484,0.198,-0.877,2,2,3
-0.485,0.196,-0.878,2,2,3
-0.486,0.196,-0.876,2,2,3
-0.485,0.197,-0.879,2,2,3
-0.486,0.198,-0.876,2,2,3
-0.484,0.199,-0.874,2,2,3
-0.483,0.199,-0.876,2,2,3
-0.484,0.199,-0.876,2,2,3
-0.486,0.2,-0.872,2,2,3
-0.484,0.199,-0.878,2,2,3
-0.485,0.198,-0.876,2,2,3
-0.486,0.2,-0.876,2,2,3
-0.484,0.199,-0.875,2,2,3
-0.485,0.199,-0.876,2,2,3
-0.485,0.199,-0.875,2,2,3
-0.484,0.2,-0.876,2,2,3
-0.485,0.2,-0.875,2,2,3
-0.484,0.2,-0.876,2,2,3
-0.484,0.2,-0.877,2,2,3
-0.484,0.199,-0.879,2,2,3
-0.485,0.199,-0.874,2,2,3
-0.485,0.199,-0.876,2,2,3
-0.486,0.198,-0.877,2,2,3
-0.486,0.2,-0.877,2,2,3
-0.484,0.199,-0.876,2,2,3
-0.485,0.199,-0.875,2,2,3
-0.484,0.2,-0.876,2,2,3
