x,y,z,device_id,pet_id,user_id
-0.313,-0.023,-0.944,2,2,3
-0.313,-0.024,-0.94,2,2,3
-0.315,-0.023,-0.941,2,2,3
-0.315,-0.024,-0.941,2,2,3
-0.314,-0.024,-0.941,2,2,3
-0.314,-0.024,-0.94,2,2,3
-0.315,-0.026,-0.936,2,2,3
-0.315,-0.026,-0.942,2,2,3
-0.313,-0.025,-0.944,2,2,3
-0.314,-0.024,-0.941,2,2,3
-0.314,-0.024,-0.943,2,2,3
-0.315,-0.024,-0.942,2,2,3
-0.315,-0.024,-0.94,2,2,3
-0.315,-0.026,-0.94,2,2,3
-0.316,-0.027,-0.943,2,2,3
-0.316,-0.029,-0.941,2,2,3
-0.319,-0.035,-0.939,2,2,3
-0.322,-0.031,-0.939,2,2,3
-0.325,-0.038,-0.938,2,2,3
-0.324,-0.038,-0.938,2,2,3
-0.321,-0.034,-0.94,2,2,3
-0.318,-0.032,-0.939,2,2,3
-0.32,-0.03,-0.937,2,2,3
-0.319,-0.029,-0.94,2,2,3
-0.316,-0.029,-0.939,2,2,3
-0.317,-0.027,-0.94,2,2,3
-0.318,-0.028,-0.94,2,2,3
-0.318,-0.027,-0.94,2,2,3
-0.318,-0.028,-0.941,2,2,3
-0.318,-0.028,-0.937,2,2,3
-0.318,-0.028,-0.941,2,2,3
-0.319,-0.028,-0.94,2,2,3
-0.318,-0.028,-0.938,2,2,3
-0.319,-0.028,-0.94,2,2,3
-0.319,-0.028,-0.94,2,2,3
-0.319,-0.027,-0.941,2,2,3
-0.317,-0.023,-0.942,2,2,3
-0.317,-0.023,-0.94,2,2,3
-0.319,-0.024,-0.941,2,2,3
-0.318,-0.024,-0.94,2,2,3
-0.319,-0.024,-0.94,2,2,3
-0.318,-0.026,-0.939,2,2,3
-0.349,-0.036,-0.933,2,2,3
-0.343,-0.045,-0.955,2,2,3
-0.351,-0.035,-0.935,2,2,3
-0.343,-0.035,-0.942,2,2,3
-0.341,-0.027,-0.936,2,2,3
-0.339,-0.029,-0.94,2,2,3
-0.338,-0.028,-0.936,2,2,3
-0.352,-0.049,-0.964,2,2,3
-0.355,-0.032,-0.951,2,2,3
-0.35,-0.029,-0.93,2,2,3
-0.341,-0.032,-0.939,2,2,3
-0.352,-0.037,-0.939,2,2,3
-0.353,-0.037,-0.936,2,2,3
-0.348,-0.031,-0.936,2,2,3
-0.348,-0.03,-0.936,2,2,3
-0.363,-0.029,-0.931,2,2,3
-0.356,-0.037,-0.936,2,2,3
-0.352,-0.031,-0.935,2,2,3
-0.353,-0.043,-0.944,2,2,3
-0.362,-0.036,-0.934,2,2,3
-0.356,-0.032,-0.932,2,2,3
-0.355,-0.033,-0.935,2,2,3
-0.415,-0.111,-0.89,2,2,3
-0.39,-0.036,-0.925,2,2,3
-0.362,-0.028,-0.937,2,2,3
-0.364,-0.025,-0.934,2,2,3
-0.363,-0.024,-0.933,2,2,3
-0.369,-0.016,-0.925,2,2,3
-0.36,-0.022,-0.932,2,2,3
-0.36,-0.021,-0.933,2,2,3
-0.36,-0.021,-0.935,2,2,3
-0.359,-0.021,-0.935,2,2,3
-0.38,-0.026,-0.919,2,2,3
-0.355,-0.023,-0.937,2,2,3
-0.354,-0.023,-0.935,2,2,3
-0.353,-0.022,-0.935,2,2,3
-0.354,-0.025,-0.939,2,2,3
-0.352,-0.02,-0.933,2,2,3
-0.364,-0.017,-0.929,2,2,3
-0.357,-0.02,-0.938,2,2,3
-0.356,-0.02,-0.934,2,2,3
-0.357,-0.02,-0.936,2,2,3
-0.355,-0.017,-0.936,2,2,3
-0.356,-0.019,-0.939,2,2,3
-0.368,-0.019,-0.924,2,2,3
-0.358,-0.019,-0.936,2,2,3
-0.352,-0.019,-0.939,2,2,3
-0.356,-0.019,-0.936,2,2,3
-0.349,-0.014,-0.946,2,2,3
-0.351,-0.014,-0.935,2,2,3
-0.351,-0.014,-0.937,2,2,3
-0.349,-0.013,-0.935,2,2,3
-0.351,-0.011,-0.935,2,2,3
-0.35,-0.011,-0.934,2,2,3
-0.352,-0.013,-0.936,2,2,3
-0.35,-0.015,-0.937,2,2,3
-0.351,-0.014,-0.934,2,2,3
-0.353,-0.014,-0.933,2,2,3
-0.352,-0.016,-0.935,2,2,3
-0.353,-0.014,-0.936,2,2,3
-0.353,-0.014,-0.935,2,2,3
-0.351,-0.015,-0.936,2,2,3
-0.353,-0.015,-0.931,2,2,3
-0.351,-0.015,-0.936,2,2,3
-0.349,-0.014,-0.935,2,2,3
-0.352,-0.014,-0.934,2,2,3
-0.351,-0.013,-0.938,2,2,3
-0.384,-0.009,-0.929,2,2,3
-0.359,-0.019,-0.934,2,2,3
-0.358,-0.018,-0.935,2,2,3
-0.358,-0.019,-0.933,2,2,3
-0.358,-0.016,-0.934,2,2,3
-0.358,-0.016,-0.936,2,2,3
-0.358,-0.016,-0.935,2,2,3
-0.356,-0.014,-0.936,2,2,3
-0.355,-0.013,-0.935,2,2,3
-0.355,-0.014,-0.937,2,2,3
-0.354,-0.014,-0.935,2,2,3
